red,green,blue,near_infrared,target
38-Cloud_training\train_red\red_patch_138_7_by_12_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_green\green_patch_138_7_by_12_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_138_7_by_12_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_138_7_by_12_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_138_7_by_12_LC08_L1TP_011247_20160620_20170323_01_T1.TIF
38-Cloud_training\train_red\red_patch_138_7_by_12_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_green\green_patch_138_7_by_12_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_138_7_by_12_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_138_7_by_12_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_138_7_by_12_LC08_L1TP_029040_20160720_20170222_01_T1.TIF
38-Cloud_training\train_red\red_patch_138_7_by_12_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_138_7_by_12_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_138_7_by_12_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_138_7_by_12_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_138_7_by_12_LC08_L1TP_032029_20160420_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_138_7_by_12_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_138_7_by_12_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_138_7_by_12_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_138_7_by_12_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_138_7_by_12_LC08_L1TP_034034_20160520_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_138_7_by_12_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_138_7_by_12_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_138_7_by_12_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_138_7_by_12_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_138_7_by_12_LC08_L1TP_045026_20160720_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_138_7_by_12_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_138_7_by_12_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_138_7_by_12_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_138_7_by_12_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_138_7_by_12_LC08_L1TP_047023_20160920_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_138_7_by_18_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_green\green_patch_138_7_by_18_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_138_7_by_18_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_138_7_by_18_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_138_7_by_18_LC08_L1TP_002053_20160520_20170324_01_T1.TIF
38-Cloud_training\train_red\red_patch_138_7_by_18_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_green\green_patch_138_7_by_18_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_138_7_by_18_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_138_7_by_18_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_138_7_by_18_LC08_L1TP_002054_20160520_20170324_01_T1.TIF
38-Cloud_training\train_red\red_patch_138_7_by_18_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_green\green_patch_138_7_by_18_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_138_7_by_18_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_138_7_by_18_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_138_7_by_18_LC08_L1TP_035034_20160120_20170224_01_T1.TIF
38-Cloud_training\train_red\red_patch_138_7_by_18_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_green\green_patch_138_7_by_18_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_138_7_by_18_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_138_7_by_18_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_138_7_by_18_LC08_L1TP_039034_20160320_20170224_01_T1.TIF
38-Cloud_training\train_red\red_patch_138_7_by_6_LC08_L1TP_061017_20160720_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_138_7_by_6_LC08_L1TP_061017_20160720_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_138_7_by_6_LC08_L1TP_061017_20160720_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_138_7_by_6_LC08_L1TP_061017_20160720_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_138_7_by_6_LC08_L1TP_061017_20160720_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_138_7_by_6_LC08_L1TP_063016_20160920_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_138_7_by_6_LC08_L1TP_063016_20160920_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_138_7_by_6_LC08_L1TP_063016_20160920_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_138_7_by_6_LC08_L1TP_063016_20160920_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_138_7_by_6_LC08_L1TP_063016_20160920_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_138_7_by_6_LC08_L1TP_064014_20160420_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_138_7_by_6_LC08_L1TP_064014_20160420_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_138_7_by_6_LC08_L1TP_064014_20160420_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_138_7_by_6_LC08_L1TP_064014_20160420_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_138_7_by_6_LC08_L1TP_064014_20160420_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_138_7_by_6_LC08_L1TP_064017_20160420_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_138_7_by_6_LC08_L1TP_064017_20160420_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_138_7_by_6_LC08_L1TP_064017_20160420_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_138_7_by_6_LC08_L1TP_064017_20160420_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_138_7_by_6_LC08_L1TP_064017_20160420_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_138_7_by_6_LC08_L1TP_066017_20160520_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_138_7_by_6_LC08_L1TP_066017_20160520_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_138_7_by_6_LC08_L1TP_066017_20160520_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_138_7_by_6_LC08_L1TP_066017_20160520_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_138_7_by_6_LC08_L1TP_066017_20160520_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_6_by_19_LC08_L1TP_011002_20160620_20170323_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_6_by_19_LC08_L1TP_011002_20160620_20170323_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_6_by_19_LC08_L1TP_011002_20160620_20170323_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_6_by_19_LC08_L1TP_011002_20160620_20170323_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_6_by_19_LC08_L1TP_011002_20160620_20170323_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_13_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_13_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_13_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_13_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_13_LC08_L1TP_011247_20160620_20170323_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_13_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_13_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_13_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_13_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_13_LC08_L1TP_029040_20160720_20170222_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_13_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_13_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_13_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_13_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_13_LC08_L1TP_032029_20160420_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_13_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_13_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_13_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_13_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_13_LC08_L1TP_034034_20160520_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_13_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_13_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_13_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_13_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_13_LC08_L1TP_045026_20160720_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_13_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_13_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_13_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_13_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_13_LC08_L1TP_047023_20160920_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_19_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_19_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_19_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_19_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_19_LC08_L1TP_002053_20160520_20170324_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_19_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_19_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_19_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_19_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_19_LC08_L1TP_002054_20160520_20170324_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_19_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_19_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_19_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_19_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_19_LC08_L1TP_035034_20160120_20170224_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_19_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_19_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_19_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_19_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_19_LC08_L1TP_039034_20160320_20170224_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_1_LC08_L1TP_044010_20160220_20170224_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_1_LC08_L1TP_044010_20160220_20170224_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_1_LC08_L1TP_044010_20160220_20170224_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_1_LC08_L1TP_044010_20160220_20170224_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_1_LC08_L1TP_044010_20160220_20170224_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_1_LC08_L1TP_059014_20160620_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_1_LC08_L1TP_059014_20160620_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_1_LC08_L1TP_059014_20160620_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_1_LC08_L1TP_059014_20160620_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_1_LC08_L1TP_059014_20160620_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_7_LC08_L1TP_061017_20160720_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_7_LC08_L1TP_061017_20160720_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_7_LC08_L1TP_061017_20160720_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_7_LC08_L1TP_061017_20160720_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_7_LC08_L1TP_061017_20160720_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_7_LC08_L1TP_063016_20160920_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_7_LC08_L1TP_063016_20160920_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_7_LC08_L1TP_063016_20160920_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_7_LC08_L1TP_063016_20160920_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_7_LC08_L1TP_063016_20160920_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_7_LC08_L1TP_064014_20160420_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_7_LC08_L1TP_064014_20160420_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_7_LC08_L1TP_064014_20160420_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_7_LC08_L1TP_064014_20160420_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_7_LC08_L1TP_064014_20160420_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_7_LC08_L1TP_064017_20160420_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_7_LC08_L1TP_064017_20160420_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_7_LC08_L1TP_064017_20160420_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_7_LC08_L1TP_064017_20160420_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_7_LC08_L1TP_064017_20160420_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_139_7_by_7_LC08_L1TP_066017_20160520_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_139_7_by_7_LC08_L1TP_066017_20160520_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_139_7_by_7_LC08_L1TP_066017_20160520_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_139_7_by_7_LC08_L1TP_066017_20160520_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_139_7_by_7_LC08_L1TP_066017_20160520_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_13_1_by_13_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_green\green_patch_13_1_by_13_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_13_1_by_13_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_13_1_by_13_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_13_1_by_13_LC08_L1TP_002053_20160520_20170324_01_T1.TIF
38-Cloud_training\train_red\red_patch_13_1_by_13_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_green\green_patch_13_1_by_13_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_13_1_by_13_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_13_1_by_13_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_13_1_by_13_LC08_L1TP_002054_20160520_20170324_01_T1.TIF
38-Cloud_training\train_red\red_patch_13_1_by_13_LC08_L1TP_011002_20160620_20170323_01_T1.TIF,38-Cloud_training\train_green\green_patch_13_1_by_13_LC08_L1TP_011002_20160620_20170323_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_13_1_by_13_LC08_L1TP_011002_20160620_20170323_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_13_1_by_13_LC08_L1TP_011002_20160620_20170323_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_13_1_by_13_LC08_L1TP_011002_20160620_20170323_01_T1.TIF
38-Cloud_training\train_red\red_patch_13_1_by_13_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_green\green_patch_13_1_by_13_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_13_1_by_13_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_13_1_by_13_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_13_1_by_13_LC08_L1TP_011247_20160620_20170323_01_T1.TIF
38-Cloud_training\train_red\red_patch_13_1_by_13_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_green\green_patch_13_1_by_13_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_13_1_by_13_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_13_1_by_13_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_13_1_by_13_LC08_L1TP_029040_20160720_20170222_01_T1.TIF
38-Cloud_training\train_red\red_patch_13_1_by_13_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_13_1_by_13_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_13_1_by_13_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_13_1_by_13_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_13_1_by_13_LC08_L1TP_032029_20160420_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_13_1_by_13_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_13_1_by_13_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_13_1_by_13_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_13_1_by_13_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_13_1_by_13_LC08_L1TP_034034_20160520_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_13_1_by_13_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_green\green_patch_13_1_by_13_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_13_1_by_13_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_13_1_by_13_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_13_1_by_13_LC08_L1TP_035034_20160120_20170224_01_T1.TIF
38-Cloud_training\train_red\red_patch_13_1_by_13_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_green\green_patch_13_1_by_13_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_13_1_by_13_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_13_1_by_13_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_13_1_by_13_LC08_L1TP_039034_20160320_20170224_01_T1.TIF
38-Cloud_training\train_red\red_patch_13_1_by_13_LC08_L1TP_044010_20160220_20170224_01_T1.TIF,38-Cloud_training\train_green\green_patch_13_1_by_13_LC08_L1TP_044010_20160220_20170224_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_13_1_by_13_LC08_L1TP_044010_20160220_20170224_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_13_1_by_13_LC08_L1TP_044010_20160220_20170224_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_13_1_by_13_LC08_L1TP_044010_20160220_20170224_01_T1.TIF
38-Cloud_training\train_red\red_patch_13_1_by_13_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_13_1_by_13_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_13_1_by_13_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_13_1_by_13_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_13_1_by_13_LC08_L1TP_045026_20160720_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_13_1_by_13_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_13_1_by_13_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_13_1_by_13_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_13_1_by_13_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_13_1_by_13_LC08_L1TP_047023_20160920_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_13_1_by_13_LC08_L1TP_059014_20160620_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_13_1_by_13_LC08_L1TP_059014_20160620_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_13_1_by_13_LC08_L1TP_059014_20160620_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_13_1_by_13_LC08_L1TP_059014_20160620_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_13_1_by_13_LC08_L1TP_059014_20160620_20170221_01_T1.TIF
